month,account_id,product,crop,sales_plan,volume_plan,gross_profit_plan
2026-01,A1001,Axial Prime,Corn,772381,329,223990
2026-02,A1001,Axial Prime,Corn,849619,362,246390
2026-03,A1001,Axial Prime,Corn,952603,406,276255
2026-01,A1001,Elatus Plus,Wheat,523226,203,136039
2026-02,A1001,Elatus Plus,Wheat,575548,223,149643
2026-03,A1001,Elatus Plus,Wheat,645312,250,167781
2026-01,A1001,Amistar Pro,Potatoes,358784,174,82520
2026-02,A1001,Amistar Pro,Potatoes,394662,191,90772
2026-03,A1001,Amistar Pro,Potatoes,442500,215,101775
2026-04,A1001,Axial Prime,Corn,1034990,442,300147
2026-05,A1001,Axial Prime,Corn,1138489,486,330162
2026-06,A1001,Axial Prime,Corn,1276488,545,370182
2026-04,A1001,Elatus Plus,Wheat,701123,272,182292
2026-05,A1001,Elatus Plus,Wheat,771235,299,200521
2026-06,A1001,Elatus Plus,Wheat,864718,335,224827
2026-04,A1001,Amistar Pro,Potatoes,480770,233,110577
2026-05,A1001,Amistar Pro,Potatoes,528847,256,121635
2026-06,A1001,Amistar Pro,Potatoes,592949,287,136378
2026-07,A1001,Axial Prime,Corn,911409,389,264309
2026-08,A1001,Axial Prime,Corn,1002550,428,290740
2026-09,A1001,Axial Prime,Corn,1124071,480,325981
2026-07,A1001,Elatus Plus,Wheat,617406,239,160526
2026-08,A1001,Elatus Plus,Wheat,679147,263,176578
2026-09,A1001,Elatus Plus,Wheat,761468,295,197982
2026-07,A1001,Amistar Pro,Potatoes,423365,205,97374
2026-08,A1001,Amistar Pro,Potatoes,465701,226,107111
2026-09,A1001,Amistar Pro,Potatoes,522150,253,120094
2026-10,A1001,Axial Prime,Corn,633352,270,183672
2026-11,A1001,Axial Prime,Corn,696687,297,202039
2026-12,A1001,Axial Prime,Corn,781134,333,226529
2026-10,A1001,Elatus Plus,Wheat,429045,167,111552
2026-11,A1001,Elatus Plus,Wheat,471950,183,122707
2026-12,A1001,Elatus Plus,Wheat,529156,205,137580
2026-10,A1001,Amistar Pro,Potatoes,294203,143,67667
2026-11,A1001,Amistar Pro,Potatoes,323623,157,74433
2026-12,A1001,Amistar Pro,Potatoes,362850,176,83455
