month,account_id,product,crop,sales_actual,volume_actual,gross_profit
2025-01,A1001,Axial Prime,Corn,678860,543,183292
2025-02,A1001,Axial Prime,Corn,727350,582,196385
2025-03,A1001,Axial Prime,Corn,872819,698,235661
2025-04,A1001,Axial Prime,Corn,1066779,853,288030
2025-05,A1001,Axial Prime,Corn,1163759,931,314215
2025-06,A1001,Axial Prime,Corn,1115269,892,301123
2025-07,A1001,Axial Prime,Corn,1018289,815,274938
2025-08,A1001,Axial Prime,Corn,921309,737,248753
2025-09,A1001,Axial Prime,Corn,775840,621,209477
2025-10,A1001,Axial Prime,Corn,581880,466,157108
2025-11,A1001,Axial Prime,Corn,436410,349,117831
2025-12,A1001,Axial Prime,Corn,339430,272,91646
2025-01,A1001,Elatus Plus,Wheat,524855,420,131214
2025-02,A1001,Elatus Plus,Wheat,562344,450,140586
2025-03,A1001,Elatus Plus,Wheat,674813,540,168703
2025-04,A1001,Elatus Plus,Wheat,824772,660,206193
2025-05,A1001,Elatus Plus,Wheat,899751,720,224938
2025-06,A1001,Elatus Plus,Wheat,862261,690,215565
2025-07,A1001,Elatus Plus,Wheat,787282,630,196821
2025-08,A1001,Elatus Plus,Wheat,712303,570,178076
2025-09,A1001,Elatus Plus,Wheat,599834,480,149959
2025-10,A1001,Elatus Plus,Wheat,449875,360,112469
2025-11,A1001,Elatus Plus,Wheat,337407,270,84352
2025-12,A1001,Elatus Plus,Wheat,262427,210,65607
2025-01,A1001,Amistar Pro,Potatoes,370183,296,85142
2025-02,A1001,Amistar Pro,Potatoes,396625,317,91224
2025-03,A1001,Amistar Pro,Potatoes,475950,381,109469
2025-04,A1001,Amistar Pro,Potatoes,581717,465,133795
2025-05,A1001,Amistar Pro,Potatoes,634600,508,145958
2025-06,A1001,Amistar Pro,Potatoes,608158,487,139876
2025-07,A1001,Amistar Pro,Potatoes,555275,444,127713
2025-08,A1001,Amistar Pro,Potatoes,502392,402,115550
2025-09,A1001,Amistar Pro,Potatoes,423067,338,97305
2025-10,A1001,Amistar Pro,Potatoes,317300,254,72979
2025-11,A1001,Amistar Pro,Potatoes,237975,190,54734
2025-12,A1001,Amistar Pro,Potatoes,185092,148,42571
2025-01,A1002,Elatus Plus,Wheat,674813,540,168703
2025-02,A1002,Elatus Plus,Wheat,723014,578,180754
2025-03,A1002,Elatus Plus,Wheat,867617,694,216904
2025-04,A1002,Elatus Plus,Wheat,1060421,848,265105
2025-05,A1002,Elatus Plus,Wheat,1156823,925,289206
2025-06,A1002,Elatus Plus,Wheat,1108622,887,277156
2025-07,A1002,Elatus Plus,Wheat,1012220,810,253055
2025-08,A1002,Elatus Plus,Wheat,915818,733,228955
2025-09,A1002,Elatus Plus,Wheat,771215,617,192804
2025-10,A1002,Elatus Plus,Wheat,578411,463,144603
2025-11,A1002,Elatus Plus,Wheat,433808,347,108452
2025-12,A1002,Elatus Plus,Wheat,337407,270,84352
2025-01,A1002,Axial Prime,Corn,402936,322,108793
2025-02,A1002,Axial Prime,Corn,431717,345,116564
2025-03,A1002,Axial Prime,Corn,518061,414,139876
2025-04,A1002,Axial Prime,Corn,633185,507,170960
2025-05,A1002,Axial Prime,Corn,690747,553,186502
2025-06,A1002,Axial Prime,Corn,661966,530,178731
2025-07,A1002,Axial Prime,Corn,604404,484,163189
2025-08,A1002,Axial Prime,Corn,546842,437,147647
2025-09,A1002,Axial Prime,Corn,460498,368,124334
2025-10,A1002,Axial Prime,Corn,345374,276,93251
2025-11,A1002,Axial Prime,Corn,259030,207,69938
2025-12,A1002,Axial Prime,Corn,201468,161,54396
2025-01,A1002,Score Flex,Fruit,319911,256,92774
2025-02,A1002,Score Flex,Fruit,342762,274,99401
2025-03,A1002,Score Flex,Fruit,411315,329,119281
2025-04,A1002,Score Flex,Fruit,502718,402,145788
2025-05,A1002,Score Flex,Fruit,548420,439,159042
2025-06,A1002,Score Flex,Fruit,525569,420,152415
2025-07,A1002,Score Flex,Fruit,479867,384,139161
2025-08,A1002,Score Flex,Fruit,434166,347,125908
2025-09,A1002,Score Flex,Fruit,365613,292,106028
2025-10,A1002,Score Flex,Fruit,274210,219,79521
2025-11,A1002,Score Flex,Fruit,205657,165,59641
2025-12,A1002,Score Flex,Fruit,159956,128,46387
2025-01,A1003,Revus Top,Vegetables,479867,384,153557
2025-02,A1003,Revus Top,Vegetables,514143,411,164526
2025-03,A1003,Revus Top,Vegetables,616972,494,197431
2025-04,A1003,Revus Top,Vegetables,754077,603,241305
2025-05,A1003,Revus Top,Vegetables,822629,658,263241
2025-06,A1003,Revus Top,Vegetables,788353,631,252273
2025-07,A1003,Revus Top,Vegetables,719801,576,230336
2025-08,A1003,Revus Top,Vegetables,651248,521,208399
2025-09,A1003,Revus Top,Vegetables,548420,439,175494
2025-10,A1003,Revus Top,Vegetables,411315,329,131621
2025-11,A1003,Revus Top,Vegetables,308486,247,98716
2025-12,A1003,Revus Top,Vegetables,239934,192,76779
2025-01,A1003,Score Flex,Fruit,393034,314,113980
2025-02,A1003,Score Flex,Fruit,421108,337,122121
2025-03,A1003,Score Flex,Fruit,505329,404,146545
2025-04,A1003,Score Flex,Fruit,617625,494,179111
2025-05,A1003,Score Flex,Fruit,673773,539,195394
2025-06,A1003,Score Flex,Fruit,645699,517,187253
2025-07,A1003,Score Flex,Fruit,589551,472,170970
2025-08,A1003,Score Flex,Fruit,533403,427,154687
2025-09,A1003,Score Flex,Fruit,449182,359,130263
2025-10,A1003,Score Flex,Fruit,336886,270,97697
2025-11,A1003,Score Flex,Fruit,252665,202,73273
2025-12,A1003,Score Flex,Fruit,196517,157,56990
2025-01,A1003,Amistar Pro,Potatoes,349617,280,80412
2025-02,A1003,Amistar Pro,Potatoes,374590,300,86156
2025-03,A1003,Amistar Pro,Potatoes,449508,360,103387
2025-04,A1003,Amistar Pro,Potatoes,549399,440,126362
2025-05,A1003,Amistar Pro,Potatoes,599344,479,137849
2025-06,A1003,Amistar Pro,Potatoes,574372,459,132106
2025-07,A1003,Amistar Pro,Potatoes,524426,420,120618
2025-08,A1003,Amistar Pro,Potatoes,474481,380,109131
2025-09,A1003,Amistar Pro,Potatoes,399563,320,91899
2025-10,A1003,Amistar Pro,Potatoes,299672,240,68925
2025-11,A1003,Amistar Pro,Potatoes,224754,180,51693
2025-12,A1003,Amistar Pro,Potatoes,174809,140,40206
2025-01,A1004,Switch Max,Grapes,651629,521,149875
2025-02,A1004,Switch Max,Grapes,698174,559,160580
2025-03,A1004,Switch Max,Grapes,837809,670,192696
2025-04,A1004,Switch Max,Grapes,1023989,819,235517
2025-05,A1004,Switch Max,Grapes,1117078,894,256928
2025-06,A1004,Switch Max,Grapes,1070533,856,246223
2025-07,A1004,Switch Max,Grapes,977444,782,224812
2025-08,A1004,Switch Max,Grapes,884354,707,203401
2025-09,A1004,Switch Max,Grapes,744719,596,171285
2025-10,A1004,Switch Max,Grapes,558539,447,128464
2025-11,A1004,Switch Max,Grapes,418904,335,96348
2025-12,A1004,Switch Max,Grapes,325815,261,74937
2025-01,A1004,Score Flex,Fruit,374753,300,108678
2025-02,A1004,Score Flex,Fruit,401521,321,116441
2025-03,A1004,Score Flex,Fruit,481826,385,139730
2025-04,A1004,Score Flex,Fruit,588898,471,170780
2025-05,A1004,Score Flex,Fruit,642434,514,186306
2025-06,A1004,Score Flex,Fruit,615666,493,178543
2025-07,A1004,Score Flex,Fruit,562130,450,163018
2025-08,A1004,Score Flex,Fruit,508594,407,147492
2025-09,A1004,Score Flex,Fruit,428290,343,124204
2025-10,A1004,Score Flex,Fruit,321217,257,93153
2025-11,A1004,Score Flex,Fruit,240913,193,69865
2025-12,A1004,Score Flex,Fruit,187377,150,54339
2025-01,A1004,Revus Top,Vegetables,265641,213,85005
2025-02,A1004,Revus Top,Vegetables,284615,228,91077
2025-03,A1004,Revus Top,Vegetables,341538,273,109292
2025-04,A1004,Revus Top,Vegetables,417435,334,133579
2025-05,A1004,Revus Top,Vegetables,455384,364,145723
2025-06,A1004,Revus Top,Vegetables,436410,349,139651
2025-07,A1004,Revus Top,Vegetables,398461,319,127508
2025-08,A1004,Revus Top,Vegetables,360512,288,115364
2025-09,A1004,Revus Top,Vegetables,303589,243,97148
2025-10,A1004,Revus Top,Vegetables,227692,182,72861
2025-11,A1004,Revus Top,Vegetables,170769,137,54646
2025-12,A1004,Revus Top,Vegetables,132820,106,42502
2025-01,A1005,Score Flex,Fruit,648963,519,188199
2025-02,A1005,Score Flex,Fruit,695318,556,201642
2025-03,A1005,Score Flex,Fruit,834381,668,241970
2025-04,A1005,Score Flex,Fruit,1019799,816,295742
2025-05,A1005,Score Flex,Fruit,1112508,890,322627
2025-06,A1005,Score Flex,Fruit,1066154,853,309185
2025-07,A1005,Score Flex,Fruit,973445,779,282299
2025-08,A1005,Score Flex,Fruit,880736,705,255413
2025-09,A1005,Score Flex,Fruit,741672,593,215085
2025-10,A1005,Score Flex,Fruit,556254,445,161314
2025-11,A1005,Score Flex,Fruit,417191,334,120985
2025-12,A1005,Score Flex,Fruit,324482,260,94100
2025-01,A1005,Revus Top,Vegetables,334193,267,106942
2025-02,A1005,Revus Top,Vegetables,358064,286,114580
2025-03,A1005,Revus Top,Vegetables,429677,344,137497
2025-04,A1005,Revus Top,Vegetables,525161,420,168052
2025-05,A1005,Revus Top,Vegetables,572903,458,183329
2025-06,A1005,Revus Top,Vegetables,549032,439,175690
2025-07,A1005,Revus Top,Vegetables,501290,401,160413
2025-08,A1005,Revus Top,Vegetables,453548,363,145135
2025-09,A1005,Revus Top,Vegetables,381935,306,122219
2025-10,A1005,Revus Top,Vegetables,286451,229,91664
2025-11,A1005,Revus Top,Vegetables,214838,172,68748
2025-12,A1005,Revus Top,Vegetables,167097,134,53471
2025-01,A1005,Switch Max,Grapes,364471,292,83828
2025-02,A1005,Switch Max,Grapes,390504,312,89816
2025-03,A1005,Switch Max,Grapes,468605,375,107779
2025-04,A1005,Switch Max,Grapes,572739,458,131730
2025-05,A1005,Switch Max,Grapes,624807,500,143706
2025-06,A1005,Switch Max,Grapes,598773,479,137718
2025-07,A1005,Switch Max,Grapes,546706,437,125742
2025-08,A1005,Switch Max,Grapes,494639,396,113767
2025-09,A1005,Switch Max,Grapes,416538,333,95804
2025-10,A1005,Switch Max,Grapes,312403,250,71853
2025-11,A1005,Switch Max,Grapes,234303,187,53890
2025-12,A1005,Switch Max,Grapes,182235,146,41914
2025-01,A1006,Amistar Pro,Potatoes,539850,432,124166
2025-02,A1006,Amistar Pro,Potatoes,578411,463,133035
2025-03,A1006,Amistar Pro,Potatoes,694093,555,159641
2025-04,A1006,Amistar Pro,Potatoes,848336,679,195117
2025-05,A1006,Amistar Pro,Potatoes,925458,740,212855
2025-06,A1006,Amistar Pro,Potatoes,886897,710,203986
2025-07,A1006,Amistar Pro,Potatoes,809776,648,186248
2025-08,A1006,Amistar Pro,Potatoes,732654,586,168510
2025-09,A1006,Amistar Pro,Potatoes,616972,494,141904
2025-10,A1006,Amistar Pro,Potatoes,462729,370,106428
2025-11,A1006,Amistar Pro,Potatoes,347047,278,79821
2025-12,A1006,Amistar Pro,Potatoes,269925,216,62083
2025-01,A1006,Axial Prime,Corn,324101,259,87507
2025-02,A1006,Axial Prime,Corn,347251,278,93758
2025-03,A1006,Axial Prime,Corn,416701,333,112509
2025-04,A1006,Axial Prime,Corn,509301,407,137511
2025-05,A1006,Axial Prime,Corn,555601,444,150012
2025-06,A1006,Axial Prime,Corn,532451,426,143762
2025-07,A1006,Axial Prime,Corn,486151,389,131261
2025-08,A1006,Axial Prime,Corn,439851,352,118760
2025-09,A1006,Axial Prime,Corn,370401,296,100008
2025-10,A1006,Axial Prime,Corn,277801,222,75006
2025-11,A1006,Axial Prime,Corn,208350,167,56255
2025-12,A1006,Axial Prime,Corn,162050,130,43754
2025-01,A1006,Elatus Plus,Wheat,319911,256,79978
2025-02,A1006,Elatus Plus,Wheat,342762,274,85691
2025-03,A1006,Elatus Plus,Wheat,411315,329,102829
2025-04,A1006,Elatus Plus,Wheat,502718,402,125680
2025-05,A1006,Elatus Plus,Wheat,548420,439,137105
2025-06,A1006,Elatus Plus,Wheat,525569,420,131392
2025-07,A1006,Elatus Plus,Wheat,479867,384,119967
2025-08,A1006,Elatus Plus,Wheat,434166,347,108542
2025-09,A1006,Elatus Plus,Wheat,365613,292,91403
2025-10,A1006,Elatus Plus,Wheat,274210,219,68553
2025-11,A1006,Elatus Plus,Wheat,205657,165,51414
2025-12,A1006,Elatus Plus,Wheat,159956,128,39989
2025-01,A1007,Elatus Plus,Wheat,759790,608,189948
2025-02,A1007,Elatus Plus,Wheat,814060,651,203515
2025-03,A1007,Elatus Plus,Wheat,976872,781,244218
2025-04,A1007,Elatus Plus,Wheat,1193955,955,298489
2025-05,A1007,Elatus Plus,Wheat,1302496,1042,325624
2025-06,A1007,Elatus Plus,Wheat,1248226,999,312057
2025-07,A1007,Elatus Plus,Wheat,1139684,912,284921
2025-08,A1007,Elatus Plus,Wheat,1031143,825,257786
2025-09,A1007,Elatus Plus,Wheat,868331,695,217083
2025-10,A1007,Elatus Plus,Wheat,651248,521,162812
2025-11,A1007,Elatus Plus,Wheat,488436,391,122109
2025-12,A1007,Elatus Plus,Wheat,379895,304,94974
2025-01,A1007,Axial Prime,Corn,411696,329,111158
2025-02,A1007,Axial Prime,Corn,441102,353,119098
2025-03,A1007,Axial Prime,Corn,529323,423,142917
2025-04,A1007,Axial Prime,Corn,646950,518,174677
2025-05,A1007,Axial Prime,Corn,705764,565,190556
2025-06,A1007,Axial Prime,Corn,676357,541,182616
2025-07,A1007,Axial Prime,Corn,617543,494,166737
2025-08,A1007,Axial Prime,Corn,558730,447,150857
2025-09,A1007,Axial Prime,Corn,470509,376,127037
2025-10,A1007,Axial Prime,Corn,352882,282,95278
2025-11,A1007,Axial Prime,Corn,264661,212,71458
2025-12,A1007,Axial Prime,Corn,205848,165,55579
2025-01,A1007,Revus Top,Vegetables,299917,240,95973
2025-02,A1007,Revus Top,Vegetables,321340,257,102829
2025-03,A1007,Revus Top,Vegetables,385608,308,123395
2025-04,A1007,Revus Top,Vegetables,471298,377,150815
2025-05,A1007,Revus Top,Vegetables,514143,411,164526
2025-06,A1007,Revus Top,Vegetables,492721,394,157671
2025-07,A1007,Revus Top,Vegetables,449875,360,143960
2025-08,A1007,Revus Top,Vegetables,407030,326,130250
2025-09,A1007,Revus Top,Vegetables,342762,274,109684
2025-10,A1007,Revus Top,Vegetables,257072,206,82263
2025-11,A1007,Revus Top,Vegetables,192804,154,61697
2025-12,A1007,Revus Top,Vegetables,149958,120,47987
2025-01,A1008,Axial Prime,Corn,473012,378,127713
2025-02,A1008,Axial Prime,Corn,506798,405,136835
2025-03,A1008,Axial Prime,Corn,608158,487,164203
2025-04,A1008,Axial Prime,Corn,743304,595,200692
2025-05,A1008,Axial Prime,Corn,810878,649,218937
2025-06,A1008,Axial Prime,Corn,777091,622,209815
2025-07,A1008,Axial Prime,Corn,709518,568,191570
2025-08,A1008,Axial Prime,Corn,641945,514,173325
2025-09,A1008,Axial Prime,Corn,540585,432,145958
2025-10,A1008,Axial Prime,Corn,405439,324,109469
2025-11,A1008,Axial Prime,Corn,304079,243,82101
2025-12,A1008,Axial Prime,Corn,236506,189,63857
2025-01,A1008,Elatus Plus,Wheat,379895,304,94974
2025-02,A1008,Elatus Plus,Wheat,407030,326,101758
2025-03,A1008,Elatus Plus,Wheat,488436,391,122109
2025-04,A1008,Elatus Plus,Wheat,596977,478,149244
2025-05,A1008,Elatus Plus,Wheat,651248,521,162812
2025-06,A1008,Elatus Plus,Wheat,624113,499,156028
2025-07,A1008,Elatus Plus,Wheat,569842,456,142461
2025-08,A1008,Elatus Plus,Wheat,515571,412,128893
2025-09,A1008,Elatus Plus,Wheat,434165,347,108541
2025-10,A1008,Elatus Plus,Wheat,325624,260,81406
2025-11,A1008,Elatus Plus,Wheat,244218,195,61055
2025-12,A1008,Elatus Plus,Wheat,189947,152,47487
2025-01,A1008,Amistar Pro,Potatoes,298203,239,68587
2025-02,A1008,Amistar Pro,Potatoes,319503,256,73486
2025-03,A1008,Amistar Pro,Potatoes,383404,307,88183
2025-04,A1008,Amistar Pro,Potatoes,468605,375,107779
2025-05,A1008,Amistar Pro,Potatoes,511205,409,117577
2025-06,A1008,Amistar Pro,Potatoes,489905,392,112678
2025-07,A1008,Amistar Pro,Potatoes,447305,358,102880
2025-08,A1008,Amistar Pro,Potatoes,404704,324,93082
2025-09,A1008,Amistar Pro,Potatoes,340804,273,78385
2025-10,A1008,Amistar Pro,Potatoes,255603,204,58789
2025-11,A1008,Amistar Pro,Potatoes,191702,153,44091
2025-12,A1008,Amistar Pro,Potatoes,149102,119,34293
