order_id,account_id,product,order_date,requested_ship_date,status,units,value,commitment_due,commitment_status
O9100,A1001,Axial Prime,2026-05-05,2026-06-13,Confirmed,459,460529,2026-05-21,On track
O9101,A1001,Elatus Plus,2026-05-06,2026-06-14,Open,263,327116,2026-05-22,Overdue
O9102,A1001,Amistar Pro,2026-05-07,2026-06-15,Backorder,207,228462,2026-05-23,On track
O9103,A1002,Elatus Plus,2026-05-08,2026-06-16,Open,338,514039,2026-05-24,At risk
O9104,A1002,Axial Prime,2026-05-09,2026-06-17,Confirmed,272,410020,2026-05-25,On track
O9105,A1002,Score Flex,2026-05-10,2026-06-18,Open,160,216058,2026-05-26,On track
O9106,A1003,Revus Top,2026-05-11,2026-06-19,Backorder,259,392539,2026-05-27,On track
O9107,A1003,Score Flex,2026-05-12,2026-06-02,Open,197,331803,2026-05-28,Overdue
O9108,A1003,Amistar Pro,2026-05-13,2026-06-03,Confirmed,195,237346,2026-05-29,On track
O9109,A1004,Switch Max,2026-05-14,2026-06-04,Open,222,449308,2026-05-20,On track
O9110,A1004,Score Flex,2026-05-15,2026-06-05,Backorder,188,253096,2026-05-21,On track
O9111,A1004,Revus Top,2026-05-16,2026-06-06,Open,143,217298,2026-05-22,At risk
O9112,A1005,Score Flex,2026-05-17,2026-06-07,Confirmed,325,547861,2026-05-23,On track
O9113,A1005,Revus Top,2026-05-04,2026-06-08,Open,180,334125,2026-05-24,Overdue
O9114,A1005,Switch Max,2026-05-05,2026-06-09,Backorder,124,251308,2026-05-25,On track
O9115,A1006,Amistar Pro,2026-05-06,2026-06-10,Open,302,266539,2026-05-26,At risk
O9116,A1006,Axial Prime,2026-05-07,2026-06-11,Confirmed,219,247349,2026-05-27,On track
O9117,A1006,Elatus Plus,2026-05-08,2026-06-12,Open,160,221539,2026-05-28,On track
O9118,A1007,Elatus Plus,2026-05-09,2026-06-13,Backorder,381,578770,2026-05-29,On track
O9119,A1007,Axial Prime,2026-05-10,2026-06-14,Open,278,418933,2026-05-20,Overdue
O9120,A1007,Revus Top,2026-05-11,2026-06-15,Confirmed,162,218077,2026-05-21,On track
O9121,A1008,Axial Prime,2026-05-12,2026-06-16,Open,319,360996,2026-05-22,On track
O9122,A1008,Elatus Plus,2026-05-13,2026-06-17,Backorder,191,263077,2026-05-23,On track
O9123,A1008,Amistar Pro,2026-05-14,2026-06-18,Open,167,202443,2026-05-24,At risk
