period,season,account_id,product,crop,sales_target,sales_actual,volume_target,volume_actual,margin_target,margin_actual,gross_profit,net_waterfall_delta
2026-Q1,Pre-season,A1001,Axial Prime,Corn,2574603,2598804,1098,1020,0.29,0.31,805630,7503
2026-Q1,Pre-season,A1001,Elatus Plus,Wheat,1744086,1640835,676,585,0.26,0.27,443026,-27877
2026-Q1,Pre-season,A1001,Amistar Pro,Potatoes,1195945,1031382,580,460,0.23,0.22,226904,-36204
2026-Q2,In-season,A1001,Axial Prime,Corn,3449968,3837745,1472,1834,0.29,0.31,1189700,120211
2026-Q2,In-season,A1001,Elatus Plus,Wheat,2337075,2423079,906,1052,0.26,0.27,654231,23222
2026-Q2,In-season,A1001,Amistar Pro,Potatoes,1602566,1523079,777,827,0.23,0.22,335076,-17487
2026-Q3,In-season,A1001,Axial Prime,Corn,3038031,0,1296,0,0.29,0.31,0,-941789
2026-Q3,In-season,A1001,Elatus Plus,Wheat,2058021,0,798,0,0.26,0.27,0,-555666
2026-Q3,In-season,A1001,Amistar Pro,Potatoes,1411215,0,684,0,0.23,0.22,0,-310467
2026-Q4,After-season,A1001,Axial Prime,Corn,2111174,0,900,0,0.29,0.31,0,-654465
2026-Q4,After-season,A1001,Elatus Plus,Wheat,1430150,0,555,0,0.26,0.27,0,-386140
2026-Q4,After-season,A1001,Amistar Pro,Potatoes,980675,0,475,0,0.23,0.22,0,-215749
2026-Q1,Pre-season,A1002,Elatus Plus,Wheat,2242396,2109647,869,752,0.25,0.24,506316,-31859
2026-Q1,Pre-season,A1002,Axial Prime,Corn,1528151,1542515,652,605,0.27,0.28,431904,4021
2026-Q1,Pre-season,A1002,Score Flex,Fruit,1162724,1219232,370,357,0.29,0.3,365771,16953
2026-Q2,In-season,A1002,Elatus Plus,Wheat,3004811,3115388,1165,1353,0.25,0.24,747693,26539
2026-Q2,In-season,A1002,Axial Prime,Corn,2047723,2277888,873,1088,0.27,0.28,637809,64446
2026-Q2,In-season,A1002,Score Flex,Fruit,1558050,1800482,495,641,0.29,0.3,540144,72729
2026-Q3,In-season,A1002,Elatus Plus,Wheat,2646027,0,1026,0,0.25,0.24,0,-635046
2026-Q3,In-season,A1002,Axial Prime,Corn,1803219,0,769,0,0.27,0.28,0,-504902
2026-Q3,In-season,A1002,Score Flex,Fruit,1372014,0,436,0,0.29,0.3,0,-411604
