period,season,account_id,product,gross_sales,invoice_discount,rebates,promo_support,returns_logistics,net_sales,cogs,gross_profit
2026-Q1,Pre-season,A1001,Axial Prime,2845690,-71142,-108136,-62605,-5003,2598804,-1793174,805630
2026-Q1,Pre-season,A1001,Elatus Plus,1796714,-44918,-68275,-39528,-3158,1640835,-1197809,443026
2026-Q1,Pre-season,A1001,Amistar Pro,1129363,-28234,-42916,-24846,-1985,1031382,-804478,226904
2026-Q2,In-season,A1001,Axial Prime,4202331,-105058,-159689,-92451,-7388,3837745,-2648045,1189700
2026-Q2,In-season,A1001,Elatus Plus,2653272,-66332,-100824,-58372,-4665,2423079,-1768848,654231
2026-Q2,In-season,A1001,Amistar Pro,1667772,-41694,-63375,-36691,-2933,1523079,-1188003,335076
2026-Q3,In-season,A1001,Axial Prime,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1001,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1001,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1001,Axial Prime,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1001,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1001,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1002,Elatus Plus,2310063,-57752,-87782,-50821,-4061,2109647,-1603331,506316
2026-Q1,Pre-season,A1002,Axial Prime,1689054,-42226,-64184,-37159,-2970,1542515,-1110611,431904
2026-Q1,Pre-season,A1002,Score Flex,1335059,-33376,-50732,-29371,-2348,1219232,-853461,365771
2026-Q2,In-season,A1002,Elatus Plus,3411350,-85284,-129631,-75050,-5997,3115388,-2367695,747693
2026-Q2,In-season,A1002,Axial Prime,2494287,-62357,-94783,-54874,-4385,2277888,-1640079,637809
2026-Q2,In-season,A1002,Score Flex,1971528,-49288,-74918,-43374,-3466,1800482,-1260338,540144
2026-Q3,In-season,A1002,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1002,Axial Prime,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1002,Score Flex,0,0,0,0,0,0,0,0
