month,account_id,product,crop,sell_in_value,sell_out_value,sell_in_units,sell_out_units,channel_stock_units,weeks_of_cover,sell_out_trend,last_submission_date
2026-05,A1001,Axial Prime,Corn,3837745,3530725,1834,1687,477,1,Stable,2026-05-19
2026-05,A1001,Elatus Plus,Wheat,2423079,2229233,1052,968,273,1,Stable,2026-05-20
2026-05,A1001,Amistar Pro,Potatoes,1523079,1096617,827,595,381,3,Declining,2026-05-21
2026-05,A1002,Elatus Plus,Wheat,3115388,2866157,1353,1245,352,1,Stable,2026-05-22
2026-05,A1002,Axial Prime,Corn,2277888,2095657,1088,1001,283,1,Stable,2026-05-18
2026-05,A1002,Score Flex,Fruit,1800482,1656443,641,590,166,1,Stable,2026-05-19
2026-05,A1003,Revus Top,Vegetables,2907695,3140311,1036,1119,103,0,Increasing,2026-05-20
2026-05,A1003,Score Flex,Fruit,2212021,2035059,788,725,205,1,Stable,2026-05-21
2026-05,A1003,Amistar Pro,Potatoes,1438462,1035693,781,562,360,3,Declining,2026-05-22
2026-05,A1004,Switch Max,Grapes,2496156,1797232,889,640,409,3,Declining,2026-05-18
2026-05,A1004,Score Flex,Fruit,2109137,1940406,751,691,195,1,Stable,2026-05-19
2026-05,A1004,Revus Top,Vegetables,1609616,1738385,573,619,57,0,Increasing,2026-05-20
2026-05,A1005,Score Flex,Fruit,3652409,3360216,1301,1197,338,1,Stable,2026-05-21
2026-05,A1005,Revus Top,Vegetables,2025002,2187002,721,779,72,0,Increasing,2026-05-22
2026-05,A1005,Switch Max,Grapes,1396156,1005232,497,358,228,3,Declining,2026-05-18
2026-05,A1006,Amistar Pro,Potatoes,2221157,1599233,1206,868,555,3,Declining,2026-05-19
2026-05,A1006,Axial Prime,Corn,1832212,1685635,876,806,228,1,Stable,2026-05-20
2026-05,A1006,Elatus Plus,Wheat,1476924,1358770,641,590,166,1,Stable,2026-05-21
2026-05,A1007,Elatus Plus,Wheat,3507695,3227079,1524,1402,396,1,Stable,2026-05-22
2026-05,A1007,Axial Prime,Corn,2327406,2141214,1111,1022,289,1,Stable,2026-05-18
2026-05,A1007,Revus Top,Vegetables,1817309,1962694,647,699,64,0,Increasing,2026-05-19
2026-05,A1008,Axial Prime,Corn,2674042,2460119,1277,1175,332,1,Stable,2026-05-20
2026-05,A1008,Elatus Plus,Wheat,1753849,1613541,762,701,198,1,Stable,2026-05-21
2026-05,A1008,Amistar Pro,Potatoes,1226925,883386,666,480,306,3,Declining,2026-05-22
